|Charge(10^-19)|,|Charge(10^-19) Error|
2.94700598963238,0.183699067534254
4.78063643421245,0.0892234536882912
2.47859194497098,0.039024179341115
3.06925978157334,0.0870109686641697
10.7816390453827,0.0988527452313241
3.41911649657311,0.0324159096775988
7.86791789029067,0.104659679968686
3.6802472618096,0.0836781304611963
5.83797806737783,0.0817613546247807
2.25799740689116,0.0357915150933014
19.0322619939499,0.275059115080609
5.88028936683863,0.108873930490246
1.54889471989089,0.0228216445771606
2.0033674095539,0.0283067644871075
25.065289783077,0.332555262235184
6.12094597961421,0.112795253995918
