|Charge(eV)|,|Charge(eV) Error|
1.84187874352024,0.114811917208909
2.98789777138278,0.055764658555182
1.54911996560686,0.0243901120881969
1.91828736348334,0.0543818554151061
6.73852440336419,0.0617829657695775
2.1369478103582,0.0202599435484992
4.91744868143167,0.0654122999804286
2.300154538631,0.0522988315382477
3.64873629211115,0.0511008466404879
1.41124837930698,0.0223696969333134
11.8951637462187,0.171911946925381
3.67518085427415,0.0680462065564038
0.968059199931806,0.0142635278607254
1.25210463097119,0.0176917278044422
15.6658061144231,0.20784703889699
3.82559123725888,0.0704970337474488
